date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:27:11	19385/19385	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202011%2007:47:57%20GMT	http://webserver/wiki/index.php/Trinigy:CI:Premake	C:/PremakeDocu/PremakeDocu/webserver/wiki/index.php/Trinigy_CI_Premake.html	(from )
11:27:12	1139/1139	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Jan%202015%2010:27:03%20GMT	http://webserver/robots.txt		(from )
11:27:12	15690/15690	---M--	200	added ('OK')	text/css	etag:%2220000000af5b1-3d4a-4816171dd9340%22	http://webserver/wiki/skins/common/shared.css?270	C:/PremakeDocu/PremakeDocu/webserver/wiki/skins/common/shared3905.css	(from http://webserver/wiki/index.php/Trinigy:CI:Premake)
11:27:13	4482/4482	---M--	200	added ('OK')	text/css	etag:%2220000000af1c4-1182-47d3c76b62180%22	http://webserver/wiki/skins/common/commonPrint.css?270	C:/PremakeDocu/PremakeDocu/webserver/wiki/skins/common/commonPrint3905.css	(from http://webserver/wiki/index.php/Trinigy:CI:Premake)
11:27:13	23103/23103	---M--	200	added ('OK')	text/css	etag:%2220000000af1ec-5a3f-4747146a22300%22	http://webserver/wiki/skins/monobook/main.css?270	C:/PremakeDocu/PremakeDocu/webserver/wiki/skins/monobook/main3905.css	(from http://webserver/wiki/index.php/Trinigy:CI:Premake)
11:27:14	4777/4777	---M--	200	added ('OK')	application/javascript	etag:%2220000000af1c1-12a9-453803c187e00%22	http://webserver/wiki/skins/common/ajax.js?270	C:/PremakeDocu/PremakeDocu/webserver/wiki/skins/common/ajax3905.js	(from http://webserver/wiki/index.php/Trinigy:CI:Premake)
11:27:15	27023/27023	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Nov%202011%2013:03:06%20GMT	http://webserver/wiki/index.php/Trinigy:CI:Premake:Changelist	C:/PremakeDocu/PremakeDocu/webserver/wiki/index.php/Trinigy_CI_Premake_Changelist.html	(from http://webserver/wiki/index.php/Trinigy:CI:Premake)
11:27:15	14024/14024	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Jul%202011%2012:07:45%20GMT	http://webserver/wiki/index.php/Trinigy:CI:Premake:VS2Premake	C:/PremakeDocu/PremakeDocu/webserver/wiki/index.php/Trinigy_CI_Premake_VS2Premake.html	(from http://webserver/wiki/index.php/Trinigy:CI:Premake)
11:27:15	28038/28038	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jul%202011%2012:55:48%20GMT	http://webserver/wiki/index.php/Trinigy:CI:Premake:Solution	C:/PremakeDocu/PremakeDocu/webserver/wiki/index.php/Trinigy_CI_Premake_Solution.html	(from http://webserver/wiki/index.php/Trinigy:CI:Premake)
11:27:16	64211/64211	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202011%2014:43:45%20GMT	http://webserver/wiki/index.php/Trinigy:CI:Premake:Project	C:/PremakeDocu/PremakeDocu/webserver/wiki/index.php/Trinigy_CI_Premake_Project.html	(from http://webserver/wiki/index.php/Trinigy:CI:Premake)
11:27:17	30873/30873	---M--	200	added ('OK')	application/javascript	etag:%2220000000af1d0-7899-4916c6f618480%22	http://webserver/wiki/skins/common/wikibits.js?270	C:/PremakeDocu/PremakeDocu/webserver/wiki/skins/common/wikibits3905.js	(from http://webserver/wiki/index.php/Trinigy:CI:Premake)
11:27:17	10401/10401	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Mar%202011%2017:24:41%20GMT	http://webserver/wiki/index.php/Main_Page	C:/PremakeDocu/PremakeDocu/webserver/wiki/index.php/Main_Page.html	(from http://webserver/wiki/index.php/Trinigy:CI:Premake)
11:27:17	24801/24801	---M--	200	added ('OK')	image/png	etag:%2220000000af1be-60e1-470bb148fb440%22	http://webserver/wiki/skins/common/images/wiki.png	C:/PremakeDocu/PremakeDocu/webserver/wiki/skins/common/images/wiki.png	(from http://webserver/wiki/index.php/Trinigy:CI:Premake)
11:27:18	9431/9431	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Jan%202015%2010:27:09%20GMT	http://webserver/wiki/index.php/CompanyWiki:Community_portal	C:/PremakeDocu/PremakeDocu/webserver/wiki/index.php/CompanyWiki_Community_portal	(from http://webserver/wiki/index.php/Trinigy:CI:Premake)
